Sex,Age Group,Year,Citizen category,Ethnic,Population ('000)
Female,60-64,2012,Malaysian citizens,Others,2
Female,60-64,2012,Non-Malaysian citizens,Foreigner,11.3
Female,65-69,2012,Malaysian citizens,Bumiputera,172.9
Female,65-69,2012,Malaysian citizens,Chinese,103.7
Female,65-69,2012,Malaysian citizens,Indians,22
Female,65-69,2012,Malaysian citizens,Others,1.4
Female,65-69,2012,Non-Malaysian citizens,Foreigner,7.2
Female,70-74,2012,Malaysian citizens,Bumiputera,123.7
Female,70-74,2012,Malaysian citizens,Chinese,74.7
Female,70-74,2012,Malaysian citizens,Indians,13.9
Female,70-74,2012,Malaysian citizens,Others,1
Female,70-74,2012,Non-Malaysian citizens,Foreigner,4.2
Female,75-79,2012,Malaysian citizens,Bumiputera,78.5
Female,75-79,2012,Malaysian citizens,Chinese,48.7
Female,75-79,2012,Malaysian citizens,Indians,9.8
Female,75-79,2012,Malaysian citizens,Others,0.6
Female,75-79,2012,Non-Malaysian citizens,Foreigner,3.2
Female,80+,2012,Malaysian citizens,Bumiputera,82
Female,80+,2012,Malaysian citizens,Chinese,46.8
Female,80+,2012,Malaysian citizens,Indians,9
Female,80+,2012,Malaysian citizens,Others,0.7
Female,80+,2012,Non-Malaysian citizens,Foreigner,4.9
Male,00-04,2013,Malaysian citizens,Bumiputera,962.8
Male,00-04,2013,Malaysian citizens,Chinese,208.5
Male,00-04,2013,Malaysian citizens,Indians,70.5
Male,00-04,2013,Malaysian citizens,Others,21.8
Male,00-04,2013,Non-Malaysian citizens,Foreigner,58.5
Male,9-May,2013,Malaysian citizens,Bumiputera,945.6
Male,9-May,2013,Malaysian citizens,Chinese,235
Male,9-May,2013,Malaysian citizens,Indians,79.5
Male,9-May,2013,Malaysian citizens,Others,17.8
Male,9-May,2013,Non-Malaysian citizens,Foreigner,32
Male,14-Oct,2013,Malaysian citizens,Bumiputera,976.5
Male,14-Oct,2013,Malaysian citizens,Chinese,262.4
Male,14-Oct,2013,Malaysian citizens,Indians,88.5
Male,14-Oct,2013,Malaysian citizens,Others,15
Male,14-Oct,2013,Non-Malaysian citizens,Foreigner,28.2
Male,15-19,2013,Malaysian citizens,Bumiputera,961.3
Male,15-19,2013,Malaysian citizens,Chinese,274.8
Male,15-19,2013,Malaysian citizens,Indians,90.1
Male,15-19,2013,Malaysian citizens,Others,13.6
Male,15-19,2013,Non-Malaysian citizens,Foreigner,138.9
Male,20-24,2013,Malaysian citizens,Bumiputera,918.7
Male,20-24,2013,Malaysian citizens,Chinese,278.9
Male,20-24,2013,Malaysian citizens,Indians,92.8
Male,20-24,2013,Malaysian citizens,Others,13.1
Male,20-24,2013,Non-Malaysian citizens,Foreigner,328.2
Male,25-29,2013,Malaysian citizens,Bumiputera,830.5
Male,25-29,2013,Malaysian citizens,Chinese,269
Male,25-29,2013,Malaysian citizens,Indians,92.5
Male,25-29,2013,Malaysian citizens,Others,11.4
Male,25-29,2013,Non-Malaysian citizens,Foreigner,402.8
Male,30-34,2013,Malaysian citizens,Bumiputera,712
Male,30-34,2013,Malaysian citizens,Chinese,263.3
Male,30-34,2013,Malaysian citizens,Indians,84.4
Male,30-34,2013,Malaysian citizens,Others,8.1
Male,30-34,2013,Non-Malaysian citizens,Foreigner,272
Male,35-39,2013,Malaysian citizens,Bumiputera,566.1
Male,35-39,2013,Malaysian citizens,Chinese,245.4
Male,35-39,2013,Malaysian citizens,Indians,71.5
Male,35-39,2013,Malaysian citizens,Others,5.3
Male,35-39,2013,Non-Malaysian citizens,Foreigner,186.6
Male,40-44,2013,Malaysian citizens,Bumiputera,521.9
Male,40-44,2013,Malaysian citizens,Chinese,237.3
Male,40-44,2013,Malaysian citizens,Indians,63.7
Male,40-44,2013,Malaysian citizens,Others,4.8
Male,40-44,2013,Non-Malaysian citizens,Foreigner,119.9
Male,45-49,2013,Malaysian citizens,Bumiputera,488
Male,45-49,2013,Malaysian citizens,Chinese,232.4
Male,45-49,2013,Malaysian citizens,Indians,62
Male,45-49,2013,Malaysian citizens,Others,4.8
Male,45-49,2013,Non-Malaysian citizens,Foreigner,76.1
Male,50-54,2013,Malaysian citizens,Bumiputera,439.1
Male,50-54,2013,Malaysian citizens,Chinese,223.3
Male,50-54,2013,Malaysian citizens,Indians,59
Male,50-54,2013,Malaysian citizens,Others,4.7
Male,50-54,2013,Non-Malaysian citizens,Foreigner,48.7
Male,55-59,2013,Malaysian citizens,Bumiputera,348.9
Male,55-59,2013,Malaysian citizens,Chinese,190.1
Male,55-59,2013,Malaysian citizens,Indians,46.6
Male,55-59,2013,Malaysian citizens,Others,4.2
Male,55-59,2013,Non-Malaysian citizens,Foreigner,27.5
Male,60-64,2013,Malaysian citizens,Bumiputera,259.7
Male,60-64,2013,Malaysian citizens,Chinese,156.9
Male,60-64,2013,Malaysian citizens,Indians,34
Male,60-64,2013,Malaysian citizens,Others,2.7
Male,60-64,2013,Non-Malaysian citizens,Foreigner,16.8
Male,65-69,2013,Malaysian citizens,Bumiputera,175.5
Male,65-69,2013,Malaysian citizens,Chinese,120.4
Male,65-69,2013,Malaysian citizens,Indians,21.6
Male,65-69,2013,Malaysian citizens,Others,1.6
Male,65-69,2013,Non-Malaysian citizens,Foreigner,10
Male,70-74,2013,Malaysian citizens,Bumiputera,111.1
Male,70-74,2013,Malaysian citizens,Chinese,80.9
Male,70-74,2013,Malaysian citizens,Indians,11.5
Male,70-74,2013,Malaysian citizens,Others,1.1
Male,70-74,2013,Non-Malaysian citizens,Foreigner,6.2
Male,75-79,2013,Malaysian citizens,Bumiputera,71
Male,75-79,2013,Malaysian citizens,Chinese,53.8
Male,75-79,2013,Malaysian citizens,Indians,8.2
Male,75-79,2013,Malaysian citizens,Others,0.7
Male,75-79,2013,Non-Malaysian citizens,Foreigner,4.1
Male,80+,2013,Malaysian citizens,Bumiputera,65.5
Male,80+,2013,Malaysian citizens,Chinese,40.5
Male,80+,2013,Malaysian citizens,Indians,7.2
Male,80+,2013,Malaysian citizens,Others,0.7
Male,80+,2013,Non-Malaysian citizens,Foreigner,6.5
Female,00-04,2013,Malaysian citizens,Bumiputera,904.2
Female,00-04,2013,Malaysian citizens,Chinese,192.5
Female,00-04,2013,Malaysian citizens,Indians,67
Female,00-04,2013,Malaysian citizens,Others,20.3
Female,00-04,2013,Non-Malaysian citizens,Foreigner,53.2
Female,9-May,2013,Malaysian citizens,Bumiputera,901.3
Female,9-May,2013,Malaysian citizens,Chinese,220.1
Female,9-May,2013,Malaysian citizens,Indians,77
Female,9-May,2013,Malaysian citizens,Others,16.5
Female,9-May,2013,Non-Malaysian citizens,Foreigner,28.7
Female,14-Oct,2013,Malaysian citizens,Bumiputera,928.4
Female,14-Oct,2013,Malaysian citizens,Chinese,248.2
Female,14-Oct,2013,Malaysian citizens,Indians,84
Female,14-Oct,2013,Malaysian citizens,Others,13.9
Female,14-Oct,2013,Non-Malaysian citizens,Foreigner,25.4
Female,15-19,2013,Malaysian citizens,Bumiputera,924.9
Female,15-19,2013,Malaysian citizens,Chinese,260.2
Female,15-19,2013,Malaysian citizens,Indians,87.6
Female,15-19,2013,Malaysian citizens,Others,12.9
Female,15-19,2013,Non-Malaysian citizens,Foreigner,103.4
Female,20-24,2013,Malaysian citizens,Bumiputera,904.6
Female,20-24,2013,Malaysian citizens,Chinese,267.6
Female,20-24,2013,Malaysian citizens,Indians,89.4
Female,20-24,2013,Malaysian citizens,Others,12.6
Female,20-24,2013,Non-Malaysian citizens,Foreigner,216.1
Female,25-29,2013,Malaysian citizens,Bumiputera,834.1
Female,25-29,2013,Malaysian citizens,Chinese,267.3
Female,25-29,2013,Malaysian citizens,Indians,89.1
Female,25-29,2013,Malaysian citizens,Others,11.1
Female,25-29,2013,Non-Malaysian citizens,Foreigner,220.1
Female,30-34,2013,Malaysian citizens,Bumiputera,696.3
Female,30-34,2013,Malaysian citizens,Chinese,250.2
Female,30-34,2013,Malaysian citizens,Indians,82.3
Female,30-34,2013,Malaysian citizens,Others,8.3
Female,30-34,2013,Non-Malaysian citizens,Foreigner,145.6
Female,35-39,2013,Malaysian citizens,Bumiputera,555.7
Female,35-39,2013,Malaysian citizens,Chinese,224.3
Female,35-39,2013,Malaysian citizens,Indians,68.6
Female,35-39,2013,Malaysian citizens,Others,5.9
Female,35-39,2013,Non-Malaysian citizens,Foreigner,117.4
Female,40-44,2013,Malaysian citizens,Bumiputera,532.1
Female,40-44,2013,Malaysian citizens,Chinese,226.3
Female,40-44,2013,Malaysian citizens,Indians,66.4
Female,40-44,2013,Malaysian citizens,Others,5.5
Female,40-44,2013,Non-Malaysian citizens,Foreigner,82.6
Female,45-49,2013,Malaysian citizens,Bumiputera,492.1
Female,45-49,2013,Malaysian citizens,Chinese,220.7
Female,45-49,2013,Malaysian citizens,Indians,65
Female,45-49,2013,Malaysian citizens,Others,5.1
Female,45-49,2013,Non-Malaysian citizens,Foreigner,49.3
Female,50-54,2013,Malaysian citizens,Bumiputera,429.7
Female,50-54,2013,Malaysian citizens,Chinese,197.1
Female,50-54,2013,Malaysian citizens,Indians,59.7
Female,50-54,2013,Malaysian citizens,Others,4.2
Female,50-54,2013,Non-Malaysian citizens,Foreigner,31.2
Female,55-59,2013,Malaysian citizens,Bumiputera,350
Female,55-59,2013,Malaysian citizens,Chinese,173.2
Female,55-59,2013,Malaysian citizens,Indians,49.6
Female,55-59,2013,Malaysian citizens,Others,3.2
Female,55-59,2013,Non-Malaysian citizens,Foreigner,18.8
Female,60-64,2013,Malaysian citizens,Bumiputera,261.9
Female,60-64,2013,Malaysian citizens,Chinese,145.5
Female,60-64,2013,Malaysian citizens,Indians,37.2
Female,60-64,2013,Malaysian citizens,Others,2.1
Female,60-64,2013,Non-Malaysian citizens,Foreigner,12.4
Female,65-69,2013,Malaysian citizens,Bumiputera,186.4
Female,65-69,2013,Malaysian citizens,Chinese,112.3
Female,65-69,2013,Malaysian citizens,Indians,24.9
Female,65-69,2013,Malaysian citizens,Others,1.5
Female,65-69,2013,Non-Malaysian citizens,Foreigner,8.1
Female,70-74,2013,Malaysian citizens,Bumiputera,124.8
Female,70-74,2013,Malaysian citizens,Chinese,75.6
Female,70-74,2013,Malaysian citizens,Indians,13.8
Female,70-74,2013,Malaysian citizens,Others,1
Female,70-74,2013,Non-Malaysian citizens,Foreigner,4.4
Female,75-79,2013,Malaysian citizens,Bumiputera,84.8
Female,75-79,2013,Malaysian citizens,Chinese,53.4
Female,75-79,2013,Malaysian citizens,Indians,10.3
Female,75-79,2013,Malaysian citizens,Others,0.6
Female,75-79,2013,Non-Malaysian citizens,Foreigner,3.4
Female,80+,2013,Malaysian citizens,Bumiputera,83.6
Female,80+,2013,Malaysian citizens,Chinese,47.2
Female,80+,2013,Malaysian citizens,Indians,9.7
Female,80+,2013,Malaysian citizens,Others,0.7
Female,80+,2013,Non-Malaysian citizens,Foreigner,5.2
Male,00-04,2014,Malaysian citizens,Bumiputera,970
Male,00-04,2014,Malaysian citizens,Chinese,201.5
Male,00-04,2014,Malaysian citizens,Indians,68.9
Male,00-04,2014,Malaysian citizens,Others,22.3
Male,00-04,2014,Non-Malaysian citizens,Foreigner,67.6
Male,9-May,2014,Malaysian citizens,Bumiputera,944.7
Male,9-May,2014,Malaysian citizens,Chinese,229.4
Male,9-May,2014,Malaysian citizens,Indians,77.7
Male,9-May,2014,Malaysian citizens,Others,18.2
Male,9-May,2014,Non-Malaysian citizens,Foreigner,32.5
Male,14-Oct,2014,Malaysian citizens,Bumiputera,977.7
Male,14-Oct,2014,Malaysian citizens,Chinese,259
Male,14-Oct,2014,Malaysian citizens,Indians,87.1
Male,14-Oct,2014,Malaysian citizens,Others,15.4
Male,14-Oct,2014,Non-Malaysian citizens,Foreigner,28.8
Male,15-19,2014,Malaysian citizens,Bumiputera,959.9
Male,15-19,2014,Malaysian citizens,Chinese,270.3
Male,15-19,2014,Malaysian citizens,Indians,89
Male,15-19,2014,Malaysian citizens,Others,14.6
Male,15-19,2014,Non-Malaysian citizens,Foreigner,140.3
Male,20-24,2014,Malaysian citizens,Bumiputera,940.1
Male,20-24,2014,Malaysian citizens,Chinese,281.1
Male,20-24,2014,Malaysian citizens,Indians,90.8
Male,20-24,2014,Malaysian citizens,Others,13.1
Male,20-24,2014,Non-Malaysian citizens,Foreigner,343.9
Male,25-29,2014,Malaysian citizens,Bumiputera,844.4
Male,25-29,2014,Malaysian citizens,Chinese,267.2
Male,25-29,2014,Malaysian citizens,Indians,92.6
Male,25-29,2014,Malaysian citizens,Others,11.7
Male,25-29,2014,Non-Malaysian citizens,Foreigner,418.7
Male,30-34,2014,Malaysian citizens,Bumiputera,749.7
Male,30-34,2014,Malaysian citizens,Chinese,268.5
Male,30-34,2014,Malaysian citizens,Indians,86.9
Male,30-34,2014,Malaysian citizens,Others,8.9
Male,30-34,2014,Non-Malaysian citizens,Foreigner,285.5
Male,35-39,2014,Malaysian citizens,Bumiputera,581.4
Male,35-39,2014,Malaysian citizens,Chinese,246.9
Male,35-39,2014,Malaysian citizens,Indians,73.5
Male,35-39,2014,Malaysian citizens,Others,6.1
Male,35-39,2014,Non-Malaysian citizens,Foreigner,196.9
Male,40-44,2014,Malaysian citizens,Bumiputera,528.7
Male,40-44,2014,Malaysian citizens,Chinese,238.2
Male,40-44,2014,Malaysian citizens,Indians,64.8
Male,40-44,2014,Malaysian citizens,Others,4.8
Male,40-44,2014,Non-Malaysian citizens,Foreigner,124.2
Male,45-49,2014,Malaysian citizens,Bumiputera,489.7
Male,45-49,2014,Malaysian citizens,Chinese,230.7
Male,45-49,2014,Malaysian citizens,Indians,61.5
Male,45-49,2014,Malaysian citizens,Others,4.8
Male,45-49,2014,Non-Malaysian citizens,Foreigner,78.8
Male,50-54,2014,Malaysian citizens,Bumiputera,451.3
Male,50-54,2014,Malaysian citizens,Chinese,226.8
Male,50-54,2014,Malaysian citizens,Indians,59.7
Male,50-54,2014,Malaysian citizens,Others,4.6
Male,50-54,2014,Non-Malaysian citizens,Foreigner,51.1
Male,55-59,2014,Malaysian citizens,Bumiputera,362.4
Male,55-59,2014,Malaysian citizens,Chinese,195.9
Male,55-59,2014,Malaysian citizens,Indians,48.2
Male,55-59,2014,Malaysian citizens,Others,4.3
Male,55-59,2014,Non-Malaysian citizens,Foreigner,29.5
Male,60-64,2014,Malaysian citizens,Bumiputera,269.9
Male,60-64,2014,Malaysian citizens,Chinese,159.9
Male,60-64,2014,Malaysian citizens,Indians,35.2
Male,60-64,2014,Malaysian citizens,Others,3
Male,60-64,2014,Non-Malaysian citizens,Foreigner,17.9
Male,65-69,2014,Malaysian citizens,Bumiputera,187.3
Male,65-69,2014,Malaysian citizens,Chinese,127.7
Male,65-69,2014,Malaysian citizens,Indians,23.7
Male,65-69,2014,Malaysian citizens,Others,1.7
Male,65-69,2014,Non-Malaysian citizens,Foreigner,10.6
Male,70-74,2014,Malaysian citizens,Bumiputera,113.2
Male,70-74,2014,Malaysian citizens,Chinese,82.6
Male,70-74,2014,Malaysian citizens,Indians,11.9
Male,70-74,2014,Malaysian citizens,Others,1.2
Male,70-74,2014,Non-Malaysian citizens,Foreigner,6.2
Male,75-79,2014,Malaysian citizens,Bumiputera,74.5
Male,75-79,2014,Malaysian citizens,Chinese,58.1
Male,75-79,2014,Malaysian citizens,Indians,8.5
Male,75-79,2014,Malaysian citizens,Others,0.7
Male,75-79,2014,Non-Malaysian citizens,Foreigner,4.1
Male,80+,2014,Malaysian citizens,Bumiputera,68.3
Male,80+,2014,Malaysian citizens,Chinese,43.2
Male,80+,2014,Malaysian citizens,Indians,7.8
Male,80+,2014,Malaysian citizens,Others,0.8
Male,80+,2014,Non-Malaysian citizens,Foreigner,7
Female,00-04,2014,Malaysian citizens,Bumiputera,908.9
Female,00-04,2014,Malaysian citizens,Chinese,184.8
Female,00-04,2014,Malaysian citizens,Indians,63.4
Female,00-04,2014,Malaysian citizens,Others,21
Female,00-04,2014,Non-Malaysian citizens,Foreigner,62.7
Female,9-May,2014,Malaysian citizens,Bumiputera,897.7
Female,9-May,2014,Malaysian citizens,Chinese,214.6
Female,9-May,2014,Malaysian citizens,Indians,76
Female,9-May,2014,Malaysian citizens,Others,16.9
Female,9-May,2014,Non-Malaysian citizens,Foreigner,29.1
Female,14-Oct,2014,Malaysian citizens,Bumiputera,930.2
Female,14-Oct,2014,Malaysian citizens,Chinese,244.3
Female,14-Oct,2014,Malaysian citizens,Indians,83.2
Female,14-Oct,2014,Malaysian citizens,Others,14.3
Female,14-Oct,2014,Non-Malaysian citizens,Foreigner,25.5
Female,15-19,2014,Malaysian citizens,Bumiputera,919.6
Female,15-19,2014,Malaysian citizens,Chinese,255.8
Female,15-19,2014,Malaysian citizens,Indians,86.9
Female,15-19,2014,Malaysian citizens,Others,12.9
Female,15-19,2014,Non-Malaysian citizens,Foreigner,103.5
Female,20-24,2014,Malaysian citizens,Bumiputera,920.3
Female,20-24,2014,Malaysian citizens,Chinese,267.7
Female,20-24,2014,Malaysian citizens,Indians,90.1
Female,20-24,2014,Malaysian citizens,Others,12.7
Female,20-24,2014,Non-Malaysian citizens,Foreigner,222.6
Female,25-29,2014,Malaysian citizens,Bumiputera,850.8
Female,25-29,2014,Malaysian citizens,Chinese,268
Female,25-29,2014,Malaysian citizens,Indians,87.9
Female,25-29,2014,Malaysian citizens,Others,11.4
Female,25-29,2014,Non-Malaysian citizens,Foreigner,226.5
Female,30-34,2014,Malaysian citizens,Bumiputera,739.7
Female,30-34,2014,Malaysian citizens,Chinese,257.5
Female,30-34,2014,Malaysian citizens,Indians,85.8
Female,30-34,2014,Malaysian citizens,Others,9
Female,30-34,2014,Non-Malaysian citizens,Foreigner,151.5
Female,35-39,2014,Malaysian citizens,Bumiputera,566.3
Female,35-39,2014,Malaysian citizens,Chinese,226.2
Female,35-39,2014,Malaysian citizens,Indians,69.8
Female,35-39,2014,Malaysian citizens,Others,6.4
Female,35-39,2014,Non-Malaysian citizens,Foreigner,121.7
Female,40-44,2014,Malaysian citizens,Bumiputera,537.1
Female,40-44,2014,Malaysian citizens,Chinese,224.2
Female,40-44,2014,Malaysian citizens,Indians,66.7
Female,40-44,2014,Malaysian citizens,Others,5.5
Female,40-44,2014,Non-Malaysian citizens,Foreigner,86.2
Female,45-49,2014,Malaysian citizens,Bumiputera,501.3
Female,45-49,2014,Malaysian citizens,Chinese,224.3
Female,45-49,2014,Malaysian citizens,Indians,65.3
Female,45-49,2014,Malaysian citizens,Others,5.2
Female,45-49,2014,Non-Malaysian citizens,Foreigner,51.5
Female,50-54,2014,Malaysian citizens,Bumiputera,440.1
Female,50-54,2014,Malaysian citizens,Chinese,200.4
Female,50-54,2014,Malaysian citizens,Indians,60.8
Female,50-54,2014,Malaysian citizens,Others,4.4
Female,50-54,2014,Non-Malaysian citizens,Foreigner,33.1
Female,55-59,2014,Malaysian citizens,Bumiputera,366
Female,55-59,2014,Malaysian citizens,Chinese,178.5
Female,55-59,2014,Malaysian citizens,Indians,52
Female,55-59,2014,Malaysian citizens,Others,3.4
Female,55-59,2014,Non-Malaysian citizens,Foreigner,20
Female,60-64,2014,Malaysian citizens,Bumiputera,273.4
Female,60-64,2014,Malaysian citizens,Chinese,148.7
Female,60-64,2014,Malaysian citizens,Indians,38.8
Female,60-64,2014,Malaysian citizens,Others,2.3
Female,60-64,2014,Non-Malaysian citizens,Foreigner,13
Female,65-69,2014,Malaysian citizens,Bumiputera,199.4
Female,65-69,2014,Malaysian citizens,Chinese,120.4
Female,65-69,2014,Malaysian citizens,Indians,27.7
Female,65-69,2014,Malaysian citizens,Others,1.6
Female,65-69,2014,Non-Malaysian citizens,Foreigner,8.6
Female,70-74,2014,Malaysian citizens,Bumiputera,127.1
Female,70-74,2014,Malaysian citizens,Chinese,77.7
Female,70-74,2014,Malaysian citizens,Indians,14.3
Female,70-74,2014,Malaysian citizens,Others,1.1
Female,70-74,2014,Non-Malaysian citizens,Foreigner,4.3
Female,75-79,2014,Malaysian citizens,Bumiputera,89.9
Female,75-79,2014,Malaysian citizens,Chinese,57.5
Female,75-79,2014,Malaysian citizens,Indians,10.7
Female,75-79,2014,Malaysian citizens,Others,0.7
Female,75-79,2014,Non-Malaysian citizens,Foreigner,3.5
Female,80+,2014,Malaysian citizens,Bumiputera,85.7
Female,80+,2014,Malaysian citizens,Chinese,48.5
Female,80+,2014,Malaysian citizens,Indians,10.3
Female,80+,2014,Malaysian citizens,Others,0.7
Female,80+,2014,Non-Malaysian citizens,Foreigner,5.5
Male,00-04,2015,Malaysian citizens,Bumiputera,983.6
Male,00-04,2015,Malaysian citizens,Chinese,197.3
Male,00-04,2015,Malaysian citizens,Indians,64.9
Male,00-04,2015,Malaysian citizens,Others,22.7
Male,00-04,2015,Non-Malaysian citizens,Foreigner,75.9
Male,9-May,2015,Malaysian citizens,Bumiputera,942.3
Male,9-May,2015,Malaysian citizens,Chinese,223.5
Male,9-May,2015,Malaysian citizens,Indians,76.3
Male,9-May,2015,Malaysian citizens,Others,18.6
Male,9-May,2015,Non-Malaysian citizens,Foreigner,33.6
Male,14-Oct,2015,Malaysian citizens,Bumiputera,977.7
Male,14-Oct,2015,Malaysian citizens,Chinese,254.7
Male,14-Oct,2015,Malaysian citizens,Indians,86.1
Male,14-Oct,2015,Malaysian citizens,Others,15.7
Male,14-Oct,2015,Non-Malaysian citizens,Foreigner,29.4
Male,15-19,2015,Malaysian citizens,Bumiputera,957.5
Male,15-19,2015,Malaysian citizens,Chinese,266.7
Male,15-19,2015,Malaysian citizens,Indians,89
Male,15-19,2015,Malaysian citizens,Others,15
Male,15-19,2015,Non-Malaysian citizens,Foreigner,144.5
Male,20-24,2015,Malaysian citizens,Bumiputera,951.9
Male,20-24,2015,Malaysian citizens,Chinese,281.6
Male,20-24,2015,Malaysian citizens,Indians,89
Male,20-24,2015,Malaysian citizens,Others,13.3
Male,20-24,2015,Non-Malaysian citizens,Foreigner,356.8
Male,25-29,2015,Malaysian citizens,Bumiputera,863.1
Male,25-29,2015,Malaysian citizens,Chinese,267.8
Male,25-29,2015,Malaysian citizens,Indians,92.6
Male,25-29,2015,Malaysian citizens,Others,12
Male,25-29,2015,Non-Malaysian citizens,Foreigner,433.4
Male,30-34,2015,Malaysian citizens,Bumiputera,777.5
Male,30-34,2015,Malaysian citizens,Chinese,270.5
Male,30-34,2015,Malaysian citizens,Indians,88.4
Male,30-34,2015,Malaysian citizens,Others,9.7
Male,30-34,2015,Non-Malaysian citizens,Foreigner,295.4
Male,35-39,2015,Malaysian citizens,Bumiputera,602.9
Male,35-39,2015,Malaysian citizens,Chinese,249.9
Male,35-39,2015,Malaysian citizens,Indians,75.7
Male,35-39,2015,Malaysian citizens,Others,6.4
Male,35-39,2015,Non-Malaysian citizens,Foreigner,203.9
Male,40-44,2015,Malaysian citizens,Bumiputera,535.9
Male,40-44,2015,Malaysian citizens,Chinese,239.3
Male,40-44,2015,Malaysian citizens,Indians,65.6
Male,40-44,2015,Malaysian citizens,Others,4.9
Male,40-44,2015,Non-Malaysian citizens,Foreigner,127.9
Male,45-49,2015,Malaysian citizens,Bumiputera,492.6
Male,45-49,2015,Malaysian citizens,Chinese,230.1
Male,45-49,2015,Malaysian citizens,Indians,61
Male,45-49,2015,Malaysian citizens,Others,4.8
Male,45-49,2015,Non-Malaysian citizens,Foreigner,80.4
Male,50-54,2015,Malaysian citizens,Bumiputera,459.8
Male,50-54,2015,Malaysian citizens,Chinese,228.3
Male,50-54,2015,Malaysian citizens,Indians,60.2
Male,50-54,2015,Malaysian citizens,Others,4.6
Male,50-54,2015,Non-Malaysian citizens,Foreigner,51.7
Male,55-59,2015,Malaysian citizens,Bumiputera,376.4
Male,55-59,2015,Malaysian citizens,Chinese,201.2
Male,55-59,2015,Malaysian citizens,Indians,49.8
Male,55-59,2015,Malaysian citizens,Others,4.4
Male,55-59,2015,Non-Malaysian citizens,Foreigner,30.9
Male,60-64,2015,Malaysian citizens,Bumiputera,281.9
Male,60-64,2015,Malaysian citizens,Chinese,163.6
Male,60-64,2015,Malaysian citizens,Indians,36.6
Male,60-64,2015,Malaysian citizens,Others,3.2
Male,60-64,2015,Non-Malaysian citizens,Foreigner,18.7
Male,65-69,2015,Malaysian citizens,Bumiputera,198.7
Male,65-69,2015,Malaysian citizens,Chinese,133.2
Male,65-69,2015,Malaysian citizens,Indians,25.5
Male,65-69,2015,Malaysian citizens,Others,1.8
Male,65-69,2015,Non-Malaysian citizens,Foreigner,11
Male,70-74,2015,Malaysian citizens,Bumiputera,117.8
Male,70-74,2015,Malaysian citizens,Chinese,86.6
Male,70-74,2015,Malaysian citizens,Indians,13
Male,70-74,2015,Malaysian citizens,Others,1.2
Male,70-74,2015,Non-Malaysian citizens,Foreigner,6.4
Male,75-79,2015,Malaysian citizens,Bumiputera,76.9
Male,75-79,2015,Malaysian citizens,Chinese,60.8
Male,75-79,2015,Malaysian citizens,Indians,8.7
Male,75-79,2015,Malaysian citizens,Others,0.6
Male,75-79,2015,Non-Malaysian citizens,Foreigner,4.1
Male,80+,2015,Malaysian citizens,Bumiputera,72.3
Male,80+,2015,Malaysian citizens,Chinese,46.7
Male,80+,2015,Malaysian citizens,Indians,8.4
Male,80+,2015,Malaysian citizens,Others,0.8
Male,80+,2015,Non-Malaysian citizens,Foreigner,7.2
Female,00-04,2015,Malaysian citizens,Bumiputera,923
Female,00-04,2015,Malaysian citizens,Chinese,180.8
Female,00-04,2015,Malaysian citizens,Indians,60.8
Female,00-04,2015,Malaysian citizens,Others,21.5
Female,00-04,2015,Non-Malaysian citizens,Foreigner,71.1
Female,9-May,2015,Malaysian citizens,Bumiputera,893.1
Female,9-May,2015,Malaysian citizens,Chinese,208.6
Female,9-May,2015,Malaysian citizens,Indians,74.5
Female,9-May,2015,Malaysian citizens,Others,17.2
Female,9-May,2015,Non-Malaysian citizens,Foreigner,30.7
Female,14-Oct,2015,Malaysian citizens,Bumiputera,929.4
Female,14-Oct,2015,Malaysian citizens,Chinese,239.7
Female,14-Oct,2015,Malaysian citizens,Indians,82.4
Female,14-Oct,2015,Malaysian citizens,Others,14.6
Female,14-Oct,2015,Non-Malaysian citizens,Foreigner,26.3
Female,15-19,2015,Malaysian citizens,Bumiputera,915.4
Female,15-19,2015,Malaysian citizens,Chinese,252.5
Female,15-19,2015,Malaysian citizens,Indians,85.9
Female,15-19,2015,Malaysian citizens,Others,13
Female,15-19,2015,Non-Malaysian citizens,Foreigner,107.3
Female,20-24,2015,Malaysian citizens,Bumiputera,932.6
Female,20-24,2015,Malaysian citizens,Chinese,266.6
Female,20-24,2015,Malaysian citizens,Indians,89.6
Female,20-24,2015,Malaysian citizens,Others,12.7
Female,20-24,2015,Non-Malaysian citizens,Foreigner,231.4
Female,25-29,2015,Malaysian citizens,Bumiputera,866.9
Female,25-29,2015,Malaysian citizens,Chinese,267.2
Female,25-29,2015,Malaysian citizens,Indians,88.1
Female,25-29,2015,Malaysian citizens,Others,11.7
Female,25-29,2015,Non-Malaysian citizens,Foreigner,233.3
Female,30-34,2015,Malaysian citizens,Bumiputera,774.1
Female,30-34,2015,Malaysian citizens,Chinese,263.2
Female,30-34,2015,Malaysian citizens,Indians,87.2
Female,30-34,2015,Malaysian citizens,Others,9.6
Female,30-34,2015,Non-Malaysian citizens,Foreigner,155.7
Female,35-39,2015,Malaysian citizens,Bumiputera,585.6
Female,35-39,2015,Malaysian citizens,Chinese,229.9
Female,35-39,2015,Malaysian citizens,Indians,71.6
Female,35-39,2015,Malaysian citizens,Others,6.7
Female,35-39,2015,Non-Malaysian citizens,Foreigner,125.5
Female,40-44,2015,Malaysian citizens,Bumiputera,540.9
Female,40-44,2015,Malaysian citizens,Chinese,223.3
Female,40-44,2015,Malaysian citizens,Indians,66.7
